       From Date,       2019-07-01
           Josuu,           27.237
        N225List,          Minashi
            1332,               50
            1333,              500
            1605,              125
            1721,               50
            1801,              250
            1802,               50
            1803,               50
            1808,              250
            1812,              100
            1925,               50
            1928,               50
            1963,               50
            2002,               50
            2269,              250
            2282,              100
            9681,              100
            2432,            500/3
            2501,              250
            2502,               50
            2503,               50
            2531,               50
            2768,              500
            2801,               50
            2802,               50
            2871,              100
            2914,               50
            3086,              100
            3099,               50
            3101,              500
            3103,              500
            3105,               50
            3289,               50
            3382,               50
            3401,              250
            3402,               50
            3405,               50
            3407,               50
            3436,              500
            3861,               50
            3863,              500
            4004,              500
            4005,               50
            4021,               50
            4042,              100
            4043,              250
            4061,              250
            4063,               50
            4151,               50
            4183,              250
            4188,              100
            4208,              500
            4324,               50
            4452,               50
            4502,               50
            4503,               10
            4506,               50
            4507,               50
            4519,             50/3
            4523,               50
            4543,             12.5
            4568,               50
            4578,               50
            4631,              500
            4689,              125
            4704,               50
            4751,              250
            4755,               50
            4901,               50
            4902,               50
            4911,               50
            5019,              125
            5020,               50
            5101,              100
            5108,               50
            5201,              250
            5202,              500
            5214,            500/3
            5232,              500
            5233,              500
            5301,               50
            5332,              100
            5333,               50
            5401,              500
            5406,              500
            5411,              500
            5541,              500
            5631,              250
            5703,               50
            5706,              500
            5707,              500
            5711,              500
            5713,              100
            5714,              250
            5801,              500
            5802,               50
            5803,               50
            5901,               50
            6098,             50/3
            6103,              250
            6113,               50
            6178,               50
            6301,               50
            6302,              250
            6305,               50
            6326,               50
            6361,              250
            6367,               50
            6471,               50
            6472,               50
            6473,               50
            6479,               50
            6501,              250
            6503,               50
            6504,              250
            6506,               50
            6645,               50
            6674,              250
            6701,              500
            6702,              500
            6703,              500
            6724,               25
            6752,               50
            6758,               50
            6762,               50
            6770,               50
            6841,               50
            6857,               25
            6902,               50
            6952,               50
            6954,               50
            6971,               25
            6976,               50
            6988,               50
            7003,              500
            7004,              250
            7011,              500
            7012,              500
            7013,              500
            7186,               50
            7201,               50
            7202,              100
            7203,               50
            7205,               50
            7211,              500
            7261,              250
            7267,               25
            7269,               50
            7270,               50
            7272,               50
            7731,               50
            7733,             12.5
            7735,              250
            7751,            100/3
            7752,               50
            7762,               50
            6366,               50
            7911,              100
            7912,              100
            7951,               50
            8001,               50
            8002,               50
            8015,               50
            8031,               50
            8035,               50
            8053,               50
            8058,               50
            8233,              100
            8252,               50
            8253,               50
            8267,               50
            8303,              500
            8304,              500
            8306,               50
            8308,              500
            8309,              500
            8316,              500
            8331,               50
            8354,              250
            8355,               50
            8411,               50
            8601,               50
            8604,               50
            8628,               50
            8630,              200
            8725,            500/3
            8750,              500
            8766,              100
            8795,              250
            8801,               50
            8802,               50
            8804,              100
            8830,               50
            9001,              250
            9005,              100
            9007,              100
            9008,              250
            9009,              100
            9020,              500
            9021,              500
            9022,              500
            9062,              500
            9064,               50
            9101,              500
            9104,              500
            9107,              500
            9202,              500
            9301,              100
            9412,              500
            9432,              125
            9433,             25/3
            4272,               50
            9437,              500
            9501,              500
            9502,              500
            9503,              500
            9531,              250
            9532,              250
            9602,              500
            9613,               10
            9735,               50
            9766,               50
            9983,               50
            9984,             25/3
            8028,             50/4
            8729,              250
