Date,Remove,Add,Minashi,Josuu
2019-08-01,6366,7832,50,27.497
2019-10-01,9681,2413,125/6,27.760
2020-07-29,8729,8697,50,27.859
2020-09-29,4568,4568,50/3,27.859
2020-09-29,5703,5703,500,27.859
2020-09-29,8411,8411,500,27.859
2020-10-02,4272,9434,50,27.870
2020-10-29,8028,3659,25,27.731
2020-12-02,9437,6753,50,27.769
2021-09-29,2768.0,2768.0,2500,27.769
2021-09-29,6762.0,6762.0,50/3,27.769
2021-09-29,7203.0,7203.0,10,27.769
2021-10-01,3105.0,6861.0,0.1,27.769
2021-10-01,5901.0,6981.0,0.8,27.769
2021-10-01,9412.0,7974.0,0.1,27.769
